participant,distance_setting,number_of_objects,trial_number,target_present,ran,order,response_yes,yes_no_correct,hit,false_alarm,rt_sec,rt_where_sec,response_where_x,response_where_y,target_pos_x,target_pos_y,click_distance_deg,distance_shapecomp,background_shape_idx,proto_object_idx,date_str
SR,low,3,1,False,1.0,0.0,0.0,1.0,0,0,1.0344632,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,2,True,1.0,1.0,1.0,1.0,1,0,0.6217389,0.30341506,-2.6454583611827247,-6.24209276234126,-5.434043092693855,-1.889708358755413,5.1690865,0.5149855017662048,0.0,39.0,2023-06-26_15h38.26.579
SR,low,3,3,True,1.0,2.0,0.0,0.0,0,0,0.41841793,,,,9.23509561481458,6.121560825517715,,0.5549496412277222,0.0,65.0,2023-06-26_15h38.26.579
SR,low,3,4,True,1.0,3.0,1.0,1.0,1,0,0.5388291,0.47175002,6.256954887965882,-7.921512957923549,-10.409420176212793,-6.866166833901087,16.699755,0.480796605348587,0.0,31.0,2023-06-26_15h38.26.579
SR,low,3,5,False,1.0,4.0,0.0,1.0,0,0,0.27653408,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,6,True,1.0,5.0,0.0,0.0,0,0,0.510345,,,,-1.1988285465337964,6.456425843064251,,0.8231127262115479,0.0,46.0,2023-06-26_15h38.26.579
SR,low,3,7,True,1.0,6.0,1.0,1.0,1,0,0.51614,0.38342905,2.61573410993348,-6.152920008593528,6.639001283871847,4.2123276297369445,11.11868,0.5041901469230652,0.0,47.0,2023-06-26_15h38.26.579
SR,low,3,8,False,1.0,7.0,0.0,1.0,0,0,0.41265512,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,9,True,1.0,8.0,0.0,0.0,0,0,0.87556386,,,,-1.6629412408328603,6.746795784559729,,0.5548374652862549,0.0,45.0,2023-06-26_15h38.26.579
SR,low,3,10,True,1.0,9.0,0.0,0.0,0,0,0.809736,,,,-5.615336131252118,-5.914410193067989,,0.6629336476325989,0.0,41.0,2023-06-26_15h38.26.579
SR,low,3,11,True,1.0,10.0,0.0,0.0,0,0,0.652812,,,,0.9443382649371356,9.157451374985472,,0.7091094851493835,0.0,35.0,2023-06-26_15h38.26.579
SR,low,3,12,True,1.0,11.0,1.0,1.0,1,0,0.93664193,0.31988883,5.825953244851842,2.883252371176677,1.375160325183543,5.807999028016167,5.3257585,0.4986608028411865,0.0,59.0,2023-06-26_15h38.26.579
SR,low,3,13,True,1.0,12.0,0.0,0.0,0,0,0.37614107,,,,-11.161492115980908,-0.0907507669296097,,0.566596508026123,0.0,9.0,2023-06-26_15h38.26.579
SR,low,3,14,False,1.0,13.0,1.0,0.0,0,1,0.88963294,0.3444109,-0.2229318843693307,-8.040409962920528,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,15,False,1.0,14.0,0.0,1.0,0,0,0.38162184,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
