,participant,distance_setting,number_of_objects,target_present,response_yes,yes_no_correct,target_pos_x,response_where_x,target_pos_y,response_where_y,hit,false_alarm,distance,angle,distance_delta
0,SR,low,3,False,0.0,1.0,,,,,0,0,,,
1,SR,low,3,True,1.0,1.0,-5.434043092693855,-2.6454583611827247,-1.889708358755413,-6.24209276234126,1,0,5.75324447719753,-2.806920430460327,5.169086457140597
2,SR,low,3,True,0.0,0.0,9.23509561481458,,6.121560825517715,,0,0,11.079733659040755,0.5853614843710166,
3,SR,low,3,True,1.0,1.0,-10.409420176212793,6.256954887965882,-6.866166833901087,-7.921512957923549,1,0,12.469974955704973,-2.5584907434317397,16.6997548850684
4,SR,low,3,False,0.0,1.0,,,,,0,0,,,
5,SR,low,3,True,0.0,0.0,-1.1988285465337964,,6.456425843064251,,0,0,6.566781902193209,1.7543854196951856,
6,SR,low,3,True,1.0,1.0,6.639001283871847,2.61573410993348,4.2123276297369445,-6.152920008593528,1,0,7.8625722322594465,0.565388881323739,11.11867965888061
7,SR,low,3,False,0.0,1.0,,,,,0,0,,,
8,SR,low,3,True,0.0,0.0,-1.6629412408328603,,6.746795784559729,,0,0,6.948714048585944,1.8124580593751396,
9,SR,low,3,True,0.0,0.0,-5.615336131252118,,-5.914410193067989,,0,0,8.155504141303101,-2.330260961111569,
10,SR,low,3,True,0.0,0.0,0.9443382649371356,,9.157451374985472,,0,0,9.206013819446927,1.4680371650958797,
11,SR,low,3,True,1.0,1.0,1.375160325183543,5.825953244851842,5.807999028016167,2.883252371176677,1,0,5.968577605208434,1.3383075970521667,5.325758220240873
12,SR,low,3,True,0.0,0.0,-11.161492115980908,,-0.0907507669296097,,0,0,11.16186104360748,-3.133462130692632,
13,SR,low,3,False,1.0,0.0,,-0.2229318843693307,,-8.040409962920528,0,1,,,
14,SR,low,3,False,0.0,1.0,,,,,0,0,,,
15,SR,low,3,True,1.0,1.0,6.195443046326862,6.509611023584457,7.737242865927119,7.11895817419396,1,0,9.91203519498493,0.8956103765033033,0.6935253982124198
16,SR,low,3,True,1.0,1.0,-4.699221721803172,-1.248418552468252,7.81417387468685,10.89393808284796,1,0,9.118333078721422,2.1122236969884627,4.625255678485478
17,SR,low,3,False,0.0,1.0,,,,,0,0,,,
18,SR,low,3,False,0.0,1.0,,,,,0,0,,,
19,SR,low,3,True,1.0,1.0,-9.831545787185732,-9.199655761641049,5.779200194824671,4.488361938635857,1,0,11.404317053528064,2.610175593335918,1.4372015892085002
20,SR,low,3,True,0.0,0.0,-1.332324508301605,,7.083319106377067,,0,0,7.207530656069909,1.7567173166008265,
21,SR,low,3,True,0.0,0.0,9.714261198702165,,-4.81045498210446,,0,0,10.840080616465176,-0.4597963420313012,
22,SR,low,3,False,0.0,1.0,,,,,0,0,,,
23,SR,low,3,False,0.0,1.0,,,,,0,0,,,
24,SR,low,3,True,1.0,1.0,-5.258296183016706,-6.093471506095039,-4.53703828104289,-6.301541264839747,1,0,6.945098639470622,-2.429694647423542,1.952175350757971
25,SR,low,3,False,0.0,1.0,,,,,0,0,,,
26,SR,low,3,True,1.0,1.0,-10.697048235461995,10.046796922244503,-3.053047713965474,6.034023003596551,1,0,11.124205198374867,-2.863574063311509,22.646897495084765
27,SR,low,3,False,0.0,1.0,,,,,0,0,,,
28,SR,low,3,True,0.0,0.0,-5.152418254043338,,-10.721937683321649,,0,0,11.895686678356647,-2.0187625408098167,
29,SR,low,3,False,0.0,1.0,,,,,0,0,,,
30,SR,low,3,True,1.0,1.0,6.766305138656945,7.431062812311023,-8.943882754904688,-7.059509671695472,1,0,11.214986578810375,-0.9231298458239537,1.998190351644555
31,SR,low,3,False,0.0,1.0,,,,,0,0,,,
32,SR,low,3,True,1.0,1.0,1.553647538783146,0.7431062812311022,10.732264842829062,9.749554409752063,1,0,10.844138016983722,1.427030875040864,1.2738512179498953
33,SR,low,3,False,0.0,1.0,,,,,0,0,,,
34,SR,low,3,False,0.0,1.0,,,,,0,0,,,
35,SR,low,3,False,0.0,1.0,,,,,0,0,,,
36,SR,low,3,False,0.0,1.0,,,,,0,0,,,
37,SR,low,3,False,0.0,1.0,,,,,0,0,,,
38,SR,low,3,False,0.0,1.0,,,,,0,0,,,
39,SR,low,3,True,1.0,1.0,8.980591745105444,-7.208130927941692,-7.318209466357572,-3.2548055117922283,1,0,11.584783894649982,-0.6837555031607121,16.69089552668783
