participant,distance_setting,number_of_objects,n_hit,n_fa,n_signal,n_noise,proportion_correct,hit_rate,false_alarm_rate
DB,high,2,46,5,50,50,0.91,0.9038461538461539,0.11538461538461539
DB,high,3,47,2,50,50,0.95,0.9230769230769231,0.057692307692307696
DB,high,4,44,4,50,50,0.9,0.8653846153846154,0.09615384615384616
DB,high,8,41,2,50,50,0.89,0.8076923076923077,0.057692307692307696
DB,high,16,30,3,50,50,0.77,0.5961538461538461,0.07692307692307693
DB,low,2,33,10,50,50,0.73,0.6538461538461539,0.21153846153846154
DB,low,3,37,10,50,50,0.77,0.7307692307692307,0.21153846153846154
DB,low,4,34,3,50,50,0.81,0.6730769230769231,0.07692307692307693
DB,low,16,19,8,50,50,0.61,0.38461538461538464,0.17307692307692307
DB,mid,2,44,7,50,50,0.87,0.8653846153846154,0.15384615384615385
DB,mid,3,47,5,50,50,0.92,0.9230769230769231,0.11538461538461539
DB,mid,4,41,3,50,50,0.88,0.8076923076923077,0.07692307692307693
DB,mid,8,29,8,50,50,0.71,0.5769230769230769,0.17307692307692307
DB,mid,16,29,9,50,50,0.7,0.5769230769230769,0.19230769230769232
DH,high,2,50,1,50,50,0.99,0.9807692307692307,0.038461538461538464
DH,high,3,48,1,50,50,0.97,0.9423076923076923,0.038461538461538464
DH,high,4,48,1,50,50,0.97,0.9423076923076923,0.038461538461538464
DH,high,8,39,0,50,50,0.89,0.7692307692307693,0.019230769230769232
DH,high,16,26,1,50,50,0.75,0.5192307692307693,0.038461538461538464
DH,low,2,36,9,50,50,0.77,0.7115384615384616,0.19230769230769232
DH,low,3,39,6,50,50,0.83,0.7692307692307693,0.1346153846153846
DH,low,4,31,4,50,50,0.77,0.6153846153846154,0.09615384615384616
DH,low,8,21,6,50,50,0.65,0.4230769230769231,0.1346153846153846
DH,low,16,4,3,50,50,0.51,0.09615384615384616,0.07692307692307693
DH,mid,2,47,3,50,50,0.94,0.9230769230769231,0.07692307692307693
DH,mid,3,44,4,50,50,0.9,0.8653846153846154,0.09615384615384616
DH,mid,4,42,4,50,50,0.88,0.8269230769230769,0.09615384615384616
DH,mid,8,27,3,50,50,0.74,0.5384615384615384,0.07692307692307693
DH,mid,16,23,2,50,50,0.71,0.46153846153846156,0.057692307692307696
HT,high,2,49,22,50,50,0.7777777777777778,0.9615384615384616,0.4423076923076923
HT,high,3,46,10,50,50,0.8585858585858586,0.9038461538461539,0.21153846153846154
HT,high,4,42,10,50,50,0.82,0.8269230769230769,0.21153846153846154
HT,high,8,34,11,50,50,0.7346938775510204,0.6730769230769231,0.23076923076923078
HT,high,16,32,5,50,50,0.77,0.6346153846153846,0.11538461538461539
HT,low,2,32,16,50,50,0.66,0.6346153846153846,0.3269230769230769
HT,low,3,27,14,50,50,0.63,0.5384615384615384,0.28846153846153844
HT,low,4,30,14,50,50,0.66,0.5961538461538461,0.28846153846153844
